7679,-9626,9126,-6320,Ruby
-6973,9762,5030,-9047,Oro
-9359,6631,-2252,9350,Potasio
6473,9201,5617,-4691,Oro
-1385,-335,8668,-2006,Potasio
7563,-3560,-3387,-6448,Potasio
2508,-389,8294,9006,Potasio
-6155,-7617,7420,-2394,Ruby
-7101,5786,1175,6015,Sodio
-6412,8034,-2549,-6743,Sodio
4310,-3235,4700,8418,Plata
9189,8822,3713,-3035,Plata
7011,306,9727,8274,Potasio
6577,-605,3387,-6002,Sodio
1549,9625,-6185,1096,Carbono
-9118,4056,-5493,-3886,Sodio
2710,7788,3221,-5229,Carbono
4859,7616,1461,7068,Plata
-6218,-8099,-1177,-1976,Cobre
-6802,-5946,2001,-8188,Carbono
-743,-462,4949,-800,Oro
6478,4516,2996,-2811,Plata
2448,5644,-5998,8788,Ruby
-9669,-5865,8193,848,Carbono
-8332,-2156,3779,-3309,Cobre
